Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
How do I apply annual leave?,"To apply for annual leave with Singtel HR, you need to follow these steps:
1. Inform your immediate supervisor on the day of your absence from work.
2. Upon your return to work, apply for leave via HR Central - Time Off.
3. Attach supporting documentation, such as medical certificates, issued by a registered medical or dental practitioner during the application process.
4. Note that employees may take up to 3 days of non-consecutive sick leave each year without requiring medical certificates to be submitted [1].

[1]: cite:1 ""Citation-1""","Hello! I'm Luis. To apply for annual leave, you can follow these steps:

1. Check your leave balance: First, make sure you have enough leave balance to cover the duration of your intended leave. You can check your leave balance on HRCentral.
2. Discuss with your manager: Before applying for leave, it's always a good idea to discuss your leave plans with your direct manager. This is to ensure that your leave does not conflict with any important work commitments or projects.
3. Apply for leave on HRCentral: Once you have discussed your leave plans with your manager, you can apply for leave on HRCentral. Simply log in to HRCentral, go to the ""Leave"" tab, and select the type of leave you wish to apply for (e.g., Annual Leave). Enter the dates of your leave and submit your application.
4. Wait for approval: After submitting your leave application, your manager will receive an email notification to approve your leave. Once your leave is approved, you will receive a confirmation email.

Remember, if you are a Regular employee, your annual leave is by calendar year, and your leave entitlements for your new contract year will only be refreshed upon the commencement of your new contract year. If you are a Fixed-term employee, your annual leave is based on your contract year.

I hope this helps! If you have any further questions, feel free to ask.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",33.78367853164673,7,Copilot accurately reflects the general process but includes some specific details that may not be universally applicable.,6,Copilot provides mostly accurate information but includes specific steps that may not be relevant to all users.,8,"Copilot presents information in a clear and understandable manner, though some steps could be more detailed.",5,Copilot includes details about sick leave and medical certificates which are not directly relevant to applying for annual leave.,7,Copilot provides a concise summary but includes some unnecessary details.,7,Copilot delivers a good answer but could improve by focusing more on the specific question asked.
"hi luis, how are you?","Hello, how can I help you today?","Hello! I'm doing well, thanks for asking. How may I assist you today?",33.69396162033081,5,Copilot does not accurately reflect the sentiment or content of the user's question.,6,Copilot's response is factually correct but does not address the user's question.,8,Copilot's response is clear and easy to understand.,4,Copilot's response is not relevant to the user's question about their well-being.,9,Copilot provides a concise response.,5,Copilot's response is clear and concise but fails to address the user's question appropriately.
i want to apply leave. are you able to assist me?,"To apply for leave, you need to follow these steps:
1. Inform your immediate supervisor on the day of your absence from work if you are unable to report for work due to medical reasons.
2. Upon your return to work, apply for leave via HR Central - Time Off and attach supporting documentation, such as medical certificates issued by a registered medical or dental practitioner [1].

[1]: cite:1 ""Citation-1""","Yes, I can assist you with applying leave. Please provide me with the necessary details such as the type of leave you want to apply for, the dates of your leave, and your manager's name. Additionally, let me know if you have any specific requirements or requests, such as a half-day leave or a leave for a specific number of days.",33.745779514312744,8,Copilot accurately reflects the general process of applying for leave.,7,Copilot provides mostly accurate information but assumes a specific process that may not apply universally.,9,Copilot presents the steps in a clear and understandable manner.,6,"Copilot includes specific details that may not be relevant to all users, such as the mention of HR Central.",8,Copilot provides a concise summary of the steps to apply for leave.,8,Copilot delivers a good answer but includes some specific details that may not be universally applicable.
"I like to change my staff pass, who can i approach","Escalating to a live agent is not currently configured for this bot, however this is where the bot could provide information about how to get in touch with someone another way.

Is there anything else I can help you with?","Based on the information provided, you can approach Corporate Security at g-hqpassoff@singtel.com for staff pass enquiries.",33.696290254592896,3,Copilot does not provide a direct answer to the question about changing a staff pass.,2,Copilot's response is not factually accurate as it does not address the specific query about staff pass changes.,5,"While the response is clear, it does not provide the necessary information related to the question.",2,The response is largely irrelevant to the user's query about changing a staff pass.,7,The response is concise but lacks the necessary information to be useful.,3,"Copilot's response fails to address the user's question effectively, providing irrelevant information instead."
How many days of annual leave am I entitled to?,"Eligible employees at Singtel are entitled to annual leave based on their years of service. The entitlement varies for different categories of employees, such as Regular Employment under 10 Years' Service, Regular Employment 10 & More Years' Service, and Fixed Term or Re-employed employees [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, annual leave entitlement is calculated using the formula:

(No. of calendar days from Start Date to End Date / Calendar Days in the year) x Entitlement

As a new hire, your annual leave entitlement is 18 days. If you commence work on May 15th, your pro-rated leave entitlement would be:

(No. of calendar days from May 15th to December 31st / 365) x 18 days

= (231 / 365) x 18

= 11.3 days, rounded down to 11 days

Therefore, you are entitled to 11 days of annual leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/:x:/r/sites/app_hrsingtel/Policies/Leave/_layouts/15/Doc.aspx?sourcedoc=%7BC53CD88E-6037-4B65-A12E-F71121126814%7D&file=Leave%20Calculator_Termination.xlsx&action=default&mobileredirect=true' target='_blank'> Doc </a> 
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Annual%20Leave.aspx' target='_blank'> Annual Leave </a> 
",33.83764457702637,7,Copilot accurately reflects the general structure of the information but lacks specific details.,6,Copilot provides a general overview but misses specific numerical entitlements and conditions.,8,"Copilot presents information in a clear and understandable manner, though it could be more specific.",7,Copilot includes relevant categories but does not directly answer the question about the exact number of days.,9,Copilot provides a concise summary without unnecessary details.,7,Copilot delivers a good answer but lacks specific details and numerical entitlements.
do we allow half day medical leave?,"To clarify, did you mean:","Based on the provided context, the answer to the question ""do we allow half day medical leave?"" is no. The policy states that there is no half day Medical, Sick or Hospitalisation leave. Employees who are unwell may apply up to 3 days of non-consecutive sick leave in a year without having to attach a medical certificate, which will be deducted from their 14 days sick leave entitlement. Therefore, half day medical leave is not an option.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",33.518312215805054,3,Copilot does not provide an answer to the question and instead asks for clarification.,2,Copilot does not provide any factual information relevant to the question.,5,Copilot's response is clear but does not address the question.,1,Copilot's response is not relevant to the question asked.,9,Copilot's response is concise but lacks necessary information.,3,Copilot fails to answer the question and does not provide useful information.
Will overseas medical certificate be accepted for sick leave?,"Medical certificates from overseas medical clinics or hospitals are not recognized. Only medical certificates issued by overseas panel medical clinics may be recognized at Singtel for sick leave purposes [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""Will overseas medical certificate be accepted for sick leave?"" is no. The policy states that medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognized. Therefore, an overseas medical certificate will not be accepted for sick leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",33.88267111778259,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
Is overseas medical certificate recognised for sick/hospitalisation leave?,"MCs issued by overseas medical clinics or hospitals are not recognized. Only medical certificates issued by overseas panel medical clinics may be recognized for sick or hospitalization leave [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""Is overseas medical certificate recognised for sick/hospitalisation leave?"" is no. According to the policy, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognised for sick/hospitalisation leave. Employees who are unwell and need to take sick leave must attach a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",33.79875349998474,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
How do I obtain letter of employment?,"To obtain a Letter of Employment from Singtel HR, you need to follow these steps:
1. Your off-boarding process must commence once the termination workflow in HRC is approved by your manager [1].
2. You will receive the Acknowledgement of Resignation Letter, which includes the Certificate Of Employment. Make sure to save this document for your records [1].
3. If you are a Singapore Permanent Resident (PR), complete the required actions for off-boarding, such as the Letter of Undertaking, and email it to g-payrollsg@singtel.com [1].
4. For Work Pass holders, the company will initiate the Work Pass cancellation process. You need to provide necessary details and follow the instructions provided [1].
5. You can refer to the guide for more details and specific links related to off-boarding processes [2].

[1]: cite:1 ""Citation-1""
[2]: cite:2 ""Citation-2""","To obtain a letter of employment, you can follow these steps:

1. Click on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>.
2. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request
3. Under * Type of Letter(s), select [General Purpose]
4. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
5. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
6. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Therefore, you can obtain a letter of employment by following the steps mentioned above, or you can contact the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",33.7038037776947,7,Copilot accurately reflects the general process but includes specific details that may not be universally applicable.,6,Copilot provides mostly accurate information but includes specific steps that may not be relevant to all users.,8,"Copilot presents information in a clear and understandable manner, though some steps could be simplified.",5,"Copilot includes details specific to Singtel, which may not be relevant to users seeking general information on obtaining a letter of employment.",7,Copilot provides a relatively concise summary but could omit some specific details to be more general.,7,Copilot delivers a good answer but could improve by being more general and universally applicable.
Is overseas medical certificate recognized for medical sick leave?,"To clarify, did you mean:","Based on the provided context, the answer to the question ""Is overseas medical certificate recognized for medical sick leave?"" is no. According to the information provided, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognized for sick leave. Employees who are unwell and need to take sick leave must provide a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",33.56712245941162,2,Copilot does not provide an answer to the question and instead asks for clarification.,1,Copilot does not provide any factual information relevant to the question.,3,Copilot's response is clear but does not address the question.,1,Copilot's response is not relevant to the question asked.,5,Copilot's response is concise but unhelpful.,2,Copilot fails to provide a useful answer to the question.
