Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
How do I apply annual leave?,"To apply for annual leave at Singtel, you need to follow these steps:
1. Log in to HR Central - Time Off.
2. Submit your leave application.
3. Attach any required supporting documentation, such as medical certificates if applicable.
4. Keep your managers and P&C partners updated on your leave application progress [1].

[1]: cite:1 ""Citation-1""","Hello! I'm Luis. To apply for annual leave, you can follow these steps:

1. Check your leave balance: First, make sure you have enough leave balance to cover the duration of your intended leave. You can check your leave balance on HRCentral.
2. Discuss with your manager: Before applying for leave, it's always a good idea to discuss your leave plans with your direct manager. This is to ensure that your leave does not conflict with any important work commitments or projects.
3. Apply for leave on HRCentral: Once you have discussed your leave plans with your manager, you can apply for leave on HRCentral. Simply log in to HRCentral, go to the ""Leave"" tab, and select the type of leave you wish to apply for (e.g., Annual Leave). Enter the dates of your leave and submit your application.
4. Wait for approval: After submitting your leave application, your manager will receive an email notification to approve your leave. Once your leave is approved, you will receive a confirmation email.

Remember, if you are a Regular employee, your annual leave is by calendar year, and your leave entitlements for your new contract year will only be refreshed upon the commencement of your new contract year. If you are a Fixed-term employee, your annual leave is based on your contract year.

I hope this helps! If you have any further questions, feel free to ask.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",7.430343341827393,7,Copilot accurately reflects the general process but lacks specific details about discussing with a manager and checking leave balance.,6,Copilot provides mostly accurate information but omits some important steps like discussing with a manager.,8,"Copilot presents information in a clear and understandable manner, though it could be more detailed.",7,Copilot includes relevant steps but misses some crucial details that are relevant to the process.,9,"Copilot provides a concise summary of the information, though it could benefit from a bit more detail.",7,Copilot delivers a good answer but lacks some important details that would make it more comprehensive.
"hi luis, how are you?","Hola, soy Luis, el asistente de recursos humanos de Singtel. Estoy aquí para ayudarte con cualquier consulta relacionada con las políticas de recursos humanos de Singtel. Por favor, hazme saber en qué puedo asistirte.
AI-generated content may be incorrectHello, how can I help you today?","Hello! I'm doing well, thanks for asking. How may I assist you today?",8.692884874343871,5,"Copilot introduces itself as Luis, which is not mentioned in the question.",6,Copilot provides some accurate information but also includes incorrect details about being an HR assistant.,7,Copilot's response is mostly clear but slightly confusing due to the introduction of irrelevant details.,4,Copilot's response includes irrelevant information about HR policies and assistance.,6,Copilot's response is somewhat concise but could be more direct and to the point.,5,Copilot's response is partially relevant but includes unnecessary and incorrect information.
i want to apply leave. are you able to assist me?,"To apply for leave, you can use HR Central - Time Off and attach supporting documentation, such as medical certificates, during the application process [1].

[1]: cite:1 ""Citation-1""","Yes, I can assist you with applying leave. Please provide me with the necessary details such as the type of leave you want to apply for, the dates of your leave, and your manager's name. Additionally, let me know if you have any specific requirements or requests, such as a half-day leave or a leave for a specific number of days.",9.31938738822937,9,Copilot accurately reflects the process of applying for leave using HR Central and mentions attaching supporting documentation.,8,Copilot provides accurate information about the leave application process but does not specify all possible types of leave or details.,9,"Copilot presents the information in a clear and understandable manner, making it easy to follow the instructions.",7,Copilot's response is mostly relevant but could include more specific instructions or options for different types of leave.,8,Copilot provides a concise summary of the leave application process without unnecessary details.,8,"Copilot delivers a good answer with clear instructions, though it could be improved by including more specific details about different types of leave."
"I like to change my staff pass, who can i approach","To change your staff pass, you should approach the Pass Office at either SRN Hub or Comcentre, or your manager [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, you can approach Corporate Security at g-hqpassoff@singtel.com for staff pass enquiries.",8.148094606399535,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
How many days of annual leave am I entitled to?,"Regular Singtel employees are entitled to different days of annual leave based on their grade category and years of service. Here is a breakdown:
- Operations & Support (OS): 14 working days for under 10 years of service, 21 working days for 10 or more years of service.
- Professional (PF): 18 working days for under 10 years of service, 21 working days for 10 or more years of service.
- Executive and Top Executive (E/TE): 21 working days for under 10 years of service, 24 working days for 10 or more years of service [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, annual leave entitlement is calculated using the formula:

(No. of calendar days from Start Date to End Date / Calendar Days in the year) x Entitlement

As a new hire, your annual leave entitlement is 18 days. If you commence work on May 15th, your pro-rated leave entitlement would be:

(No. of calendar days from May 15th to December 31st / 365) x 18 days

= (231 / 365) x 18

= 11.3 days, rounded down to 11 days

Therefore, you are entitled to 11 days of annual leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/:x:/r/sites/app_hrsingtel/Policies/Leave/_layouts/15/Doc.aspx?sourcedoc=%7BC53CD88E-6037-4B65-A12E-F71121126814%7D&file=Leave%20Calculator_Termination.xlsx&action=default&mobileredirect=true' target='_blank'> Doc </a> 
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Annual%20Leave.aspx' target='_blank'> Annual Leave </a> 
",9.796376419067382,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
How do I obtain letter of employment?,"Employees can obtain a letter of employment from Singtel HR by requesting an assignment letter, which provides details of any variation to the employee's home country employment contract, including information on assignment-related allowances, benefits, and other provisions that apply to the assignment [1].

[1]: cite:1 ""Citation-1""","To obtain a letter of employment, you can follow these steps:

1. Click on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>.
2. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request
3. Under * Type of Letter(s), select [General Purpose]
4. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
5. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
6. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Therefore, you can obtain a letter of employment by following the steps mentioned above, or you can contact the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",7.027036857604981,5,Copilot's response does not directly address the process of obtaining a letter of employment; it instead talks about an assignment letter.,5,The information provided by Copilot is not entirely accurate as it does not pertain to obtaining a letter of employment.,7,"While the response is clear, it is not relevant to the question asked.",3,The response is largely irrelevant to the question about obtaining a letter of employment.,7,The response is concise but not on point with the question.,5,Copilot's answer is not very effective as it does not address the correct process for obtaining a letter of employment.
Can I replace my Annual leave with medical - sick leave.,"Employees cannot replace consumed annual leave with medical leave [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""Can I replace my Annual leave with medical - sick leave"" is no. According to the policy, an employee cannot cancel his/her leave to be replaced by his/her sick leave as sick leave shall not be granted when the employee is on any planned approved leave (e.g., annual leave, maternity leave, statutory childcare leave). This is in line with the MOM guidelines, which state that an employee is not entitled to paid sick leave on the following occasions, even if he is given a medical leave by the doctor: rest days, public holidays, non-working days, during annual leave, during no-pay leave. Therefore, if an employee falls sick on his annual leave, his absence from work would still be treated as annual leave and not sick leave.

It's worth noting that employees who have fully utilized their sick leave can apply for annual leave in the event that they fall sick again, and if they have fully consumed their annual leave, they should apply for no-pay leave.",9.741053295135497,9,Copilot accurately reflects the information provided in the source.,9,Copilot provides accurate information without any errors.,10,Copilot presents information in a clear and straightforward manner.,10,Copilot's response is directly relevant to the question asked.,10,Copilot provides a concise and to-the-point answer.,9,Copilot delivers an excellent answer with minimal room for improvement.
What is the working hours in Singtel,"Employees at Singtel are normally required to work not less than 42 hours or more than 44 hours a week. The working hours vary based on the work week pattern, such as five and a half days or five days work week [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, the working hours for Singtel employees are as follows:

* Full-time employees are required to work either 42 hours or 44 hours per week.
* Part-time employees are normally required to work a minimum of 18 hours a week and are entitled to pro-rata conditions comparable to a full-time position.
* The working hours for each day are determined by the manager and communicated to the employee.
* Employees are expected to work five days a week, with Saturday being a non-working day.
* An employee's rest day is scheduled by the line department and shall be communicated to the employee before the commencement of the month in which the rest days fall.
* An employee who is recalled to work on his scheduled off day for any period of less than four hours shall be given overtime compensation for four hours.
* If an employee is required to work on his scheduled rest day and such work is continued from a previous shift in which the employee was working on, such hours shall be regarded as work performed on a rest day.",8.49022479057312,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
I would like to request for COE without salary,"You can request a Certificate of Employment (COE) without salary details by contacting the Singtel HR department and specifying your request [1].

[1]: cite:1 ""Citation-1""","Sure, here's an example response:

Dear Luis,

Thank you for reaching out to us. Unfortunately, it's not possible to request for a Certificate of Employment (COE) without salary information. The COE is a document that confirms your employment status and includes details such as your job title, employment duration, and salary information.

If you need a COE for a specific purpose, such as applying for a bank loan or a visa, you will need to provide your salary information as part of the application process. The bank or embassy may require this information to verify your employment status and determine your eligibility for the loan or visa.

If you're concerned about privacy, you can ask your HR department to provide you with a COE that only includes your employment status and job title, without any salary information. However, please note that this may not be acceptable to all banks or embassies, and they may require a COE with salary information.

I hope this helps clarify things. Let me know if you have any further questions!",8.364216756820678,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
i want to request certificate of employment,"To request a certificate of employment from Singtel HR, you need to follow these steps:
1. Ensure your personal contact details in HRC are accurately updated.
2. Submit the request through the appropriate channels in the HR department.
3. Await further instructions or communication regarding the processing of your request [1].

[1]: cite:1 ""Citation-1""","Sure, here's a possible response:

""To request a certificate of employment, you can follow these steps:

1. Click on the following link to access the Certificate of Employment Request form: <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>
2. Under * Type of Letter(s), select [General Purpose]
3. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
4. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
5. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Please note that the certificate of employment is only available for employees who have been working at Singtel for more than 3 months. If you have any questions or concerns, you can reach out to the People Ops Team for assistance.""",7.969523143768311,7,Copilot provides a general procedure but lacks specific details about Singtel's process.,6,Copilot's information is generally accurate but lacks specific details and verification.,8,Copilot presents the steps in a clear and understandable manner.,7,Copilot's response is mostly relevant but lacks specific details that are crucial for the request.,9,Copilot provides a concise summary without unnecessary details.,7,Copilot delivers a good answer but could be improved with more specific and detailed information.
