Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
How do I apply annual leave?,"Hello! To be able to help you, I'll need you to sign in.","Hello! I'm Luis. To apply for annual leave, you can follow these steps:

1. Check your leave balance: First, make sure you have enough leave balance to cover the duration of your intended leave. You can check your leave balance on HRCentral.
2. Discuss with your manager: Before applying for leave, it's always a good idea to discuss your leave plans with your direct manager. This is to ensure that your leave does not conflict with any important work commitments or projects.
3. Apply for leave on HRCentral: Once you have discussed your leave plans with your manager, you can apply for leave on HRCentral. Simply log in to HRCentral, go to the ""Leave"" tab, and select the type of leave you wish to apply for (e.g., Annual Leave). Enter the dates of your leave and submit your application.
4. Wait for approval: After submitting your leave application, your manager will receive an email notification to approve your leave. Once your leave is approved, you will receive a confirmation email.

Remember, if you are a Regular employee, your annual leave is by calendar year, and your leave entitlements for your new contract year will only be refreshed upon the commencement of your new contract year. If you are a Fixed-term employee, your annual leave is based on your contract year.

I hope this helps! If you have any further questions, feel free to ask.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",0.24653978347778321,2,Copilot does not provide any information on how to apply for annual leave.,1,Copilot does not provide any factual information regarding the process of applying for annual leave.,5,"While the response is clear, it does not address the question asked.",1,The response is not relevant to the question about applying for annual leave.,8,The response is concise but lacks the necessary information.,2,Copilot fails to provide a useful answer to the question about applying for annual leave.
"hi luis, how are you?","Hello! To be able to help you, I'll need you to sign in.","Hello! I'm doing well, thanks for asking. How may I assist you today?",0.24321503639221193,2,"Copilot does not accurately reflect the context of the question, which is a casual greeting.",5,"Copilot's response is factually correct in that it asks for a sign-in, but it is not relevant to the question.",7,Copilot's response is clear in its request for the user to sign in.,1,"Copilot's response is not relevant to the question, which is a casual greeting.",8,Copilot's response is concise and to the point.,3,"Copilot's response is not appropriate for the context of the question, which is a casual greeting."
i want to apply leave. are you able to assist me?,"Hello! To be able to help you, I'll need you to sign in.","Yes, I can assist you with applying leave. Please provide me with the necessary details such as the type of leave you want to apply for, the dates of your leave, and your manager's name. Additionally, let me know if you have any specific requirements or requests, such as a half-day leave or a leave for a specific number of days.",0.23020286560058595,5,Copilot does not directly address the question about applying for leave but instead asks the user to sign in.,6,"Copilot's response is factually correct in that signing in might be necessary, but it does not provide any specific information about the leave application process.",7,Copilot's response is clear but lacks detail on how to apply for leave.,4,Copilot's response is only partially relevant to the user's request for assistance with applying for leave.,8,"Copilot's response is concise but overly so, missing critical information needed to assist with the leave application.",5,Copilot's response is not very helpful for the user's specific request and lacks necessary details.
"I like to change my staff pass, who can i approach","Hello! To be able to help you, I'll need you to sign in.","Based on the information provided, you can approach Corporate Security at g-hqpassoff@singtel.com for staff pass enquiries.",0.2336575508117676,2,Copilot does not address the question directly and instead asks the user to sign in.,1,Copilot's response is not factually accurate as it does not provide any information about who to approach for changing a staff pass.,5,"While the response is clear in its request for the user to sign in, it does not provide relevant information to the question asked.",1,The response is not relevant to the question about changing a staff pass.,7,The response is concise but fails to provide the necessary information.,2,Copilot's response is not helpful in answering the question about changing a staff pass.
How many days of annual leave am I entitled to?,"Hello! To be able to help you, I'll need you to sign in.","Based on the information provided, annual leave entitlement is calculated using the formula:

(No. of calendar days from Start Date to End Date / Calendar Days in the year) x Entitlement

As a new hire, your annual leave entitlement is 18 days. If you commence work on May 15th, your pro-rated leave entitlement would be:

(No. of calendar days from May 15th to December 31st / 365) x 18 days

= (231 / 365) x 18

= 11.3 days, rounded down to 11 days

Therefore, you are entitled to 11 days of annual leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/:x:/r/sites/app_hrsingtel/Policies/Leave/_layouts/15/Doc.aspx?sourcedoc=%7BC53CD88E-6037-4B65-A12E-F71121126814%7D&file=Leave%20Calculator_Termination.xlsx&action=default&mobileredirect=true' target='_blank'> Doc </a> 
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Annual%20Leave.aspx' target='_blank'> Annual Leave </a> 
",0.22340102195739747,2,Copilot does not provide any information about annual leave entitlement and instead asks the user to sign in.,1,Copilot does not provide any factual information regarding annual leave entitlement.,5,Copilot's response is clear but does not address the question asked.,1,Copilot's response is not relevant to the question about annual leave entitlement.,7,Copilot's response is concise but lacks the necessary information to answer the question.,2,Copilot fails to provide a useful answer to the question about annual leave entitlement.
do we allow half day medical leave?,"Hello! To be able to help you, I'll need you to sign in.","Based on the provided context, the answer to the question ""do we allow half day medical leave?"" is no. The policy states that there is no half day Medical, Sick or Hospitalisation leave. Employees who are unwell may apply up to 3 days of non-consecutive sick leave in a year without having to attach a medical certificate, which will be deducted from their 14 days sick leave entitlement. Therefore, half day medical leave is not an option.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",0.22382802963256837,2,Copilot does not provide any information related to the question about half day medical leave.,1,Copilot does not provide any factual information regarding the company's medical leave policy.,3,Copilot's response is clear but does not address the question asked.,1,Copilot's response is completely irrelevant to the question about half day medical leave.,5,Copilot's response is concise but lacks any useful information.,2,Copilot fails to answer the question and provides an irrelevant response.
Will overseas medical certificate be accepted for sick leave?,"Hello! To be able to help you, I'll need you to sign in.","Based on the provided context, the answer to the question ""Will overseas medical certificate be accepted for sick leave?"" is no. The policy states that medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognized. Therefore, an overseas medical certificate will not be accepted for sick leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",0.2402951240539551,1,Copilot does not address the question about the acceptance of overseas medical certificates for sick leave.,1,Copilot does not provide any factual information related to the question.,5,Copilot's response is clear but does not provide any relevant information.,1,Copilot's response is completely irrelevant to the question asked.,7,Copilot's response is concise but lacks any useful information.,2,Copilot fails to answer the question and provides an irrelevant response.
Is overseas medical certificate recognised for sick/hospitalisation leave?,"Hello! To be able to help you, I'll need you to sign in.","Based on the provided context, the answer to the question ""Is overseas medical certificate recognised for sick/hospitalisation leave?"" is no. According to the policy, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognised for sick/hospitalisation leave. Employees who are unwell and need to take sick leave must attach a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",0.22522587776184083,1,Copilot does not address the question about the recognition of overseas medical certificates for sick/hospitalisation leave.,1,Copilot does not provide any factual information relevant to the question.,5,"Copilot's response is clear in its request for the user to sign in, but it does not provide any information related to the question.",1,Copilot's response is not relevant to the question asked.,7,Copilot's response is concise but not informative.,2,Copilot fails to answer the question and provides an irrelevant response.
How do I obtain letter of employment?,"Hello! To be able to help you, I'll need you to sign in.","To obtain a letter of employment, you can follow these steps:

1. Click on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>.
2. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request
3. Under * Type of Letter(s), select [General Purpose]
4. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
5. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
6. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Therefore, you can obtain a letter of employment by following the steps mentioned above, or you can contact the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",0.2366661548614502,2,Copilot does not provide any information related to obtaining a letter of employment.,1,Copilot's response is not factually correct as it does not address the question.,5,"While the response is clear, it is not relevant to the question asked.",1,The response is completely irrelevant to the question about obtaining a letter of employment.,8,The response is concise but does not provide any useful information.,2,Copilot's response fails to address the question and provides no useful information.
Is overseas medical certificate recognized for medical sick leave?,"Hello! To be able to help you, I'll need you to sign in.","Based on the provided context, the answer to the question ""Is overseas medical certificate recognized for medical sick leave?"" is no. According to the information provided, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognized for sick leave. Employees who are unwell and need to take sick leave must provide a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",0.24547667503356935,1,Copilot does not address the question about the recognition of overseas medical certificates for sick leave.,1,Copilot does not provide any factual information related to the question.,3,"While the response is clear, it does not provide any relevant information to the question asked.",1,Copilot's response is entirely irrelevant to the question about overseas medical certificates.,5,The response is concise but lacks any useful information.,1,Copilot fails to answer the question and provides no useful information.
